id,authors,original_title,title,language_code
1,Suzanne Collins,The Hunger Games,"The Hunger Games (The Hunger Games, #1)",eng
2,"J.K. Rowling, Mary GrandPré",Harry Potter and the Philosopher's Stone,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",eng
3,Stephenie Meyer,Twilight,"Twilight (Twilight, #1)",en-US
4,Harper Lee,To Kill a Mockingbird,To Kill a Mockingbird,eng
5,F. Scott Fitzgerald,The Great Gatsby,The Great Gatsby,eng
6,John Green,The Fault in Our Stars,The Fault in Our Stars,eng
7,J.R.R. Tolkien,The Hobbit or There and Back Again,The Hobbit,en-US
8,J.D. Salinger,The Catcher in the Rye,The Catcher in the Rye,eng
9,Dan Brown,Angels & Demons ,"Angels & Demons  (Robert Langdon, #1)",en-CA
10,Jane Austen,Pride and Prejudice,Pride and Prejudice,eng
11,Khaled Hosseini,The Kite Runner ,The Kite Runner,eng
12,Veronica Roth,Divergent,"Divergent (Divergent, #1)",eng
13,"George Orwell, Erich Fromm, Celâl Üster",Nineteen Eighty-Four,1984,eng
14,George Orwell,Animal Farm: A Fairy Story,Animal Farm,eng
15,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,The Diary of a Young Girl,eng
16,"Stieg Larsson, Reg Keeland",Män som hatar kvinnor,"The Girl with the Dragon Tattoo (Millennium, #1)",eng
17,Suzanne Collins,Catching Fire,"Catching Fire (The Hunger Games, #2)",eng
18,"J.K. Rowling, Mary GrandPré, Rufus Beck",Harry Potter and the Prisoner of Azkaban,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",eng
19,J.R.R. Tolkien, The Fellowship of the Ring,"The Fellowship of the Ring (The Lord of the Rings, #1)",eng
20,Suzanne Collins,Mockingjay,"Mockingjay (The Hunger Games, #3)",eng
21,"J.K. Rowling, Mary GrandPré",Harry Potter and the Order of the Phoenix,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",eng
22,Alice Sebold,The Lovely Bones,The Lovely Bones,eng
23,"J.K. Rowling, Mary GrandPré",Harry Potter and the Chamber of Secrets,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",eng
24,"J.K. Rowling, Mary GrandPré",Harry Potter and the Goblet of Fire,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",eng
25,"J.K. Rowling, Mary GrandPré",Harry Potter and the Deathly Hallows,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",eng
26,Dan Brown,The Da Vinci Code,"The Da Vinci Code (Robert Langdon, #2)",eng
27,"J.K. Rowling, Mary GrandPré",Harry Potter and the Half-Blood Prince,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",eng
28,William Golding,Lord of the Flies ,Lord of the Flies,eng
29,"William Shakespeare, Robert           Jackson",An Excellent conceited Tragedie of Romeo and Juliet,Romeo and Juliet,eng
30,Gillian Flynn,Gone Girl,Gone Girl,eng
31,Kathryn Stockett,The Help,The Help,eng
32,John Steinbeck,Of Mice and Men ,Of Mice and Men,eng
33,Arthur Golden,Memoirs of a Geisha,Memoirs of a Geisha,eng
34,E.L. James,Fifty Shades of Grey,"Fifty Shades of Grey (Fifty Shades, #1)",eng
35,"Paulo Coelho, Alan R. Clarke",O Alquimista,The Alchemist,eng
36,Lois Lowry,The Giver,"The Giver (The Giver, #1)",eng
37,C.S. Lewis,"The Lion, the Witch and the Wardrobe","The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",eng
38,Audrey Niffenegger,The Time Traveler's Wife,The Time Traveler's Wife,eng
39,George R.R. Martin,A Game of Thrones,"A Game of Thrones (A Song of Ice and Fire, #1)",eng
40,Elizabeth Gilbert,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia","Eat, Pray, Love",eng
41,Rick Riordan,The Lightning Thief,"The Lightning Thief (Percy Jackson and the Olympians, #1)",eng
42,Louisa May Alcott,Little Women,"Little Women (Little Women, #1)",en-US
43,"Charlotte Brontë, Michael Mason",Jane Eyre,Jane Eyre,eng
44,Nicholas Sparks,The Notebook,"The Notebook (The Notebook, #1)",eng
45,Yann Martel,Life of Pi,Life of Pi,
46,Sara Gruen,Water for Elephants,Water for Elephants,eng
47,Markus Zusak,The Book Thief,The Book Thief,eng
48,Ray Bradbury,Fahrenheit 451,Fahrenheit 451,spa
49,Stephenie Meyer,"New Moon (Twilight, #2)","New Moon (Twilight, #2)",eng
50,Shel Silverstein,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,Where the Sidewalk Ends,eng
51,Cassandra Clare,City of Bones,"City of Bones (The Mortal Instruments, #1)",eng
52,Stephenie Meyer,Eclipse,"Eclipse (Twilight, #3)",en-US
53,Christopher Paolini,Eragon,"Eragon (The Inheritance Cycle, #1)",en-US
54,Douglas Adams,The Hitchhiker's Guide to the Galaxy,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",en-US
55,Aldous Huxley,Brave New World,Brave New World,eng
56,Stephenie Meyer,Breaking Dawn,"Breaking Dawn (Twilight, #4)",en-US
57,Sue Monk Kidd,The Secret Life of Bees,The Secret Life of Bees,en-US
58,"Mark Twain, John Seelye, Guy Cardwell",The Adventures of Huckleberry Finn,The Adventures of Huckleberry Finn,eng
59,"E.B. White, Garth Williams, Rosemary Wells",Charlotte's Web,Charlotte's Web,eng
60,Mark Haddon,The Curious Incident of the Dog in the Night-Time,The Curious Incident of the Dog in the Night-Time,eng
61,Paula Hawkins,The Girl on the Train,The Girl on the Train,eng
62,Philip Pullman,Northern Lights,"The Golden Compass (His Dark Materials, #1)",eng
63,"Emily Brontë, Richard J. Dunn",Wuthering Heights,Wuthering Heights,eng
64,Jodi Picoult,My Sister's Keeper,My Sister's Keeper,eng
65,Kurt Vonnegut Jr.,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",Slaughterhouse-Five,eng
66,Margaret Mitchell,Gone with the Wind,Gone with the Wind,eng
67,Khaled Hosseini,A Thousand Splendid Suns,A Thousand Splendid Suns,eng
68,Stephen Chbosky,The Perks of Being a Wallflower,The Perks of Being a Wallflower,eng
69,Veronica Roth,Insurgent,"Insurgent (Divergent, #2)",eng
70,Orson Scott Card,Ender's Game,"Ender's Game (Ender's Saga, #1)",eng
71,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle","Frankenstein; or, The Modern Prometheus",Frankenstein,eng
72,Stephen King,The Shining,The Shining (The Shining #1),eng
73,Stephenie Meyer,The Host,"The Host (The Host, #1)",en-US
74,John Green,Looking for Alaska,Looking for Alaska,eng
75,Helen Fielding,,"Bridget Jones's Diary (Bridget Jones, #1)",eng
76,"Jane Austen, Tony Tanner, Ros Ballaster",Sense and Sensibility,Sense and Sensibility,eng
77,"Louis Sachar, Louis Sachar",Holes,"Holes (Holes, #1)",eng
78,Lauren Weisberger,The Devil Wears Prada,"The Devil Wears Prada (The Devil Wears Prada, #1)",eng
79,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",Ὀδύσσεια,The Odyssey,eng
80,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",Le Petit Prince,The Little Prince,eng
81,Jeannette Walls,The Glass Castle,The Glass Castle,eng
82,Jon Krakauer,Into the Wild,Into the Wild,eng
83,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",A Tale of Two Cities,A Tale of Two Cities,eng
84,Michael Crichton,Jurassic Park,"Jurassic Park (Jurassic Park, #1)",spa
85,Shel Silverstein,The Giving Tree,The Giving Tree,eng
86,John Grisham,A Time to Kill,A Time to Kill,eng
87,"Elie Wiesel, Marion Wiesel",Un di Velt Hot Geshvign,Night (The Night Trilogy #1),eng
88,John Green,Paper Towns,Paper Towns,en-US
89,William Goldman,The Princess Bride,The Princess Bride ,en-US
90,S.E. Hinton,The Outsiders,The Outsiders,en-US
91,James Dashner,The Maze Runner,"The Maze Runner (Maze Runner, #1)",eng
92,"Steven D. Levitt, Stephen J. Dubner",Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",en-US
93,Frances Hodgson Burnett,The Secret Garden,The Secret Garden,eng
94,"Gabriel García Márquez, Gregory Rabassa",Cien años de soledad,One Hundred Years of Solitude,eng
95,"Oscar Wilde, Jeffrey Eugenides",The Picture of Dorian Gray,The Picture of Dorian Gray,eng
96,E.L. James,Fifty Shades Freed,"Fifty Shades Freed (Fifty Shades, #3)",eng
97,"Bram Stoker, Nina Auerbach, David J. Skal",Dracula,Dracula,eng
98,"Stieg Larsson, Reg Keeland",Flickan som lekte med elden,"The Girl Who Played with Fire (Millennium, #2)",eng
99,E.L. James,Fifty Shades Darker,"Fifty Shades Darker (Fifty Shades, #2)",eng
100,Barbara Kingsolver,The Poisonwood Bible,The Poisonwood Bible,eng
101,David Sedaris,Me Talk Pretty One Day,Me Talk Pretty One Day,eng
102,Maurice Sendak,Where the Wild Things Are,Where the Wild Things Are,eng
103,"Alexandre Dumas, Robin Buss",Le Comte de Monte-Cristo,The Count of Monte Cristo,eng
104,Cormac McCarthy,The Road,The Road,eng
105,Veronica Roth,Allegiant,"Allegiant (Divergent, #3)",eng
106,Tina Fey,Bossypants,Bossypants,eng
107,Nicholas Sparks,A Walk to Remember,A Walk to Remember,en-US
108,Sophie Kinsella,Confessions of a Shopaholic,"Confessions of a Shopaholic (Shopaholic, #1)",eng
109,"Victor Hugo, Lee Fahnestock, Norman MacAfee",Les Misérables,Les Misérables,eng
110,George R.R. Martin,A Clash of Kings,"A Clash of Kings  (A Song of Ice and Fire, #2)",eng
111,Kim Edwards,The Memory Keeper's Daughter,The Memory Keeper's Daughter,eng
112,Jojo Moyes,Me Before You,"Me Before You (Me Before You, #1)",eng
113,Joseph Heller,Catch-22,Catch-22,en-US
114,"Mitch Albom, Saulius Dagys",Tuesdays with Morrie,Tuesdays with Morrie,eng
115,Jeffrey Eugenides,Middlesex,Middlesex,en-US
116,"Mark Twain, Guy Cardwell, John Seelye",The Adventures of Tom Sawyer,The Adventures of Tom Sawyer,eng
117,Madeleine L'Engle,A Wrinkle in Time,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",en-US
118,Amy Tan,The Joy Luck Club,The Joy Luck Club,eng
119,Margaret Atwood,The Handmaid's Tale,The Handmaid's Tale,eng
120,Ann Brashares,The Sisterhood of the Traveling Pants,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",eng
121,"Vladimir Nabokov, Craig Raine",Lolita,Lolita,eng
122,"Gregory Maguire, Douglas Smith",Wicked: The Life and Times of the Wicked Witch of the West,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",eng
123,John Grisham,The Firm,"The Firm (Penguin Readers, Level 5)",eng
124,Emma Donoghue,Room,Room,eng
125,"William Shakespeare, Richard Andrews, Rex Gibson","The Tragicall Historie of Hamlet, Prince of Denmark",Hamlet,eng
126,Frank Herbert,Dune,Dune (Dune Chronicles #1),eng
127,Malcolm Gladwell,The Tipping Point: How Little Things Can Make a Big Difference,The Tipping Point: How Little Things Can Make a Big Difference,eng
128,Walter Isaacson,Steve Jobs,Steve Jobs,eng
129,Ken Kesey,One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest,eng
130,Ernest Hemingway,The Old Man and the Sea,The Old Man and the Sea,eng
131,John Steinbeck,The Grapes of Wrath,The Grapes of Wrath,eng
132,Mitch Albom,The Five People You Meet in Heaven,The Five People You Meet in Heaven,
133,L.M. Montgomery,Anne of Green Gables,"Anne of Green Gables (Anne of Green Gables, #1)",eng
134,Cassandra Clare,City of Glass,"City of Glass (The Mortal Instruments, #3)",en-US
135,George R.R. Martin,A Storm of Swords,"A Storm of Swords (A Song of Ice and Fire, #3)",eng
136,Rebecca Wells,Divine Secrets of the Ya-Ya Sisterhood,Divine Secrets of the Ya-Ya Sisterhood,en-US
137,Diana Gabaldon,Outlander,"Outlander (Outlander, #1)",eng
138,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",The Scarlet Letter,The Scarlet Letter,eng
139,Ransom Riggs,Miss Peregrine’s Home for Peculiar Children,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",en-US
140,"Stieg Larsson, Reg Keeland",Luftslottet som sprängdes,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",en-US
141,Andy Weir,The Martian,The Martian,eng
142,Ken Follett,The Pillars of the Earth,"The Pillars of the Earth (The Kingsbridge Series, #1)",eng
143,Anthony Doerr,,All the Light We Cannot See,eng
144,Laura Hillenbrand,"Unbroken: A World War II Story of Survival, Resilience, and Redemption","Unbroken: A World War II Story of Survival, Resilience, and Redemption",eng
145,Dan Brown,Deception Point,Deception Point,eng
146,Donna Tartt,The Goldfinch,The Goldfinch,eng
147,Jay Asher,Thirteen Reasons Why,Thirteen Reasons Why,eng
148,Tracy Chevalier,Girl with a Pearl Earring,Girl with a Pearl Earring,eng
149,Gayle Forman,If I Stay,"If I Stay (If I Stay, #1)",en-US
150,Anita Diamant,The Red Tent,The Red Tent,en-US
151,Rick Riordan,The Sea of Monsters,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",eng
152,Nicholas Sparks,Dear John,Dear John,en-US
153,Cassandra Clare,City of Ashes,"City of Ashes (The Mortal Instruments, #2)",eng
154,William Shakespeare,The Tragedy of Macbeth,Macbeth,eng
155,J.R.R. Tolkien,The Two Towers,"The Two Towers (The Lord of the Rings, #2)",en-US
156,Emily Giffin,Something Borrowed,"Something Borrowed (Darcy & Rachel, #1)",eng
157,"Dr. Seuss, לאה נאור",Green Eggs and Ham,Green Eggs and Ham,en-US
158,"Roald Dahl, Quentin Blake",Charlie and the Chocolate Factory,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",eng
159,Rick Riordan,The Battle of the Labyrinth,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",eng
160,Charles Dickens,Great Expectations,Great Expectations,eng
161,J.R.R. Tolkien,The Return of the King,"The Return of the King (The Lord of the Rings, #3)",en-US
162,"Albert Camus, Matthew    Ward",L’Étranger,The Stranger,eng
163,Rick Riordan,The Lost Hero,"The Lost Hero (The Heroes of Olympus, #1)",eng
164,Rainbow Rowell,Eleanor & Park,Eleanor & Park,eng
165,George R.R. Martin,A Feast for Crows,"A Feast for Crows (A Song of Ice and Fire, #4)",en-US
166,Ally Condie,Matched,"Matched (Matched, #1)",eng
167,Neil Gaiman,American Gods,"American Gods (American Gods, #1)",eng
168,"Stephen King, Bernie Wrightson",The Stand,The Stand,en-US
169,Nicholas Sparks,The Last Song,The Last Song,en-GB
170,Dan Brown,Digital Fortress,Digital Fortress,en-GB
171,"Jane Austen, Fiona Stafford",Emma,Emma,eng
172,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",Анна Каренина,Anna Karenina,eng
173,Anthony Burgess,A Clockwork Orange,A Clockwork Orange,eng
174,William Paul Young,The Shack: Where Tragedy Confronts Eternity,The Shack,eng
175,Rick Riordan,The Last Olympian,"The Last Olympian (Percy Jackson and the Olympians, #5)",eng
176,Stephen King,It,It,en-US
177,"Fyodor Dostoyevsky, David McDuff",Преступление и наказание,Crime and Punishment,eng
178,Sylvia Plath,The Bell Jar,The Bell Jar,en-US
179,Frank McCourt,Angela's Ashes: A Memoir,"Angela's Ashes (Frank McCourt, #1)",eng
180,"Hermann Hesse, Hilda Rosner",Siddhartha,Siddhartha,eng
181,Truman Capote,In Cold Blood,In Cold Blood,eng
182,"Kami Garcia, Margaret Stohl",Beautiful Creatures,"Beautiful Creatures (Caster Chronicles, #1)",eng
183,Cassandra Clare,Clockwork Angel,"Clockwork Angel (The Infernal Devices, #1)",eng
184,"Roald Dahl, Quentin Blake",Matilda,Matilda,eng
185,Erin Morgenstern,The Night Circus,The Night Circus,eng
186,Philippa Gregory,The Other Boleyn Girl,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",eng
187,Scott Westerfeld,Uglies,"Uglies (Uglies, #1)",eng
188,George R.R. Martin,A Dance with Dragons,"A Dance with Dragons (A Song of Ice and Fire, #5)",eng
189,J.R.R. Tolkien,The Lord of the Rings,"The Lord of the Rings (The Lord of the Rings, #1-3)",eng
190,Cheryl Strayed,Wild: From Lost to Found on the Pacific Crest Trail ,Wild: From Lost to Found on the Pacific Crest Trail,eng
191,"Alan Moore, Dave Gibbons, John Higgins",Watchmen,Watchmen,en-US
192,Patrick Rothfuss,The Name of the Wind,"The Name of the Wind (The Kingkiller Chronicle, #1)",eng
193,Malcolm Gladwell,Outliers: The Story of Success,Outliers: The Story of Success,en-US
194,"Herman Melville, Andrew Delbanco, Tom Quirk","Moby Dick; or, The Whale","Moby-Dick or, The Whale",eng
195,"Mary Ann Shaffer, Annie Barrows",The Guernsey Literary and Potato Peel Pie Society,The Guernsey Literary and Potato Peel Pie Society,eng
196,Chuck Palahniuk,Fight Club,Fight Club,eng
197,Charlaine Harris,Dead Until Dark,"Dead Until Dark (Sookie Stackhouse, #1)",en-US
198,Alice Walker,The Color Purple,The Color Purple,eng
199,John Grogan,Marley & Me: Life and Love with the World's Worst Dog,Marley and Me: Life and Love With the World's Worst Dog,eng
200,Agatha Christie,Ten Little Niggers,And Then There Were None,eng
201,Dan Brown,The Lost Symbol,"The Lost Symbol (Robert Langdon, #3)",eng
202,Becca Fitzpatrick,"Hush, Hush","Hush, Hush (Hush, Hush, #1)",en-US
203,Jamie McGuire,Beautiful Disaster,"Beautiful Disaster (Beautiful, #1)",eng
204,Charles Dickens,A Christmas Carol,A Christmas Carol,
205,Anne Rice,Interview with the Vampire,"Interview with the Vampire (The Vampire Chronicles, #1)",eng
206,Kiera Cass,The Selection,"The Selection (The Selection, #1)",en-US
207,Janet Evanovich,One for the Money,"One for the Money (Stephanie Plum, #1)",en-US
208,Rebecca Skloot,The Immortal Life of Henrietta Lacks,The Immortal Life of Henrietta Lacks,eng
209,Thomas Harris,The Silence of the Lambs,"The Silence of the Lambs  (Hannibal Lecter, #2)",eng
210,Richelle Mead,,"Vampire Academy (Vampire Academy, #1)",en-US
211,Malcolm Gladwell,Blink: The Power of Thinking Without Thinking,Blink: The Power of Thinking Without Thinking,en-US
212,Ian McEwan,Atonement,Atonement,eng
213,"Franz Kafka, Stanley Corngold",Die Verwandlung,The Metamorphosis,eng
214,Rick Riordan,The Titan's Curse,"The Titan's Curse (Percy Jackson and the Olympians, #3)",eng
215,Ernest Cline,,Ready Player One,eng
216,Garth Stein,The Art of Racing in the Rain,The Art of Racing in the Rain,eng
217,"Erik Larson, Tony Goldwyn","The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America","The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",eng
218,Sylvia Day,Bared to You,"Bared to You (Crossfire, #1)",eng
219,"C.S. Lewis, Pauline Baynes",The Chronicles of Narnia,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",eng
220,Mark Cotta Vaz,Twilight: The Complete Illustrated Movie Companion,Twilight: The Complete Illustrated Movie Companion,en-US
221,Dave Pelzer,"A Child Called ""It"": One Child's Courage to Survive","A Child Called ""It"" (Dave Pelzer #1)",eng
222,Robert Ludlum,The Bourne Identity,"The Bourne Identity (Jason Bourne, #1)",eng
223,Eoin Colfer,Artemis Fowl,"Artemis Fowl (Artemis Fowl, #1)",eng
224,Lauren Kate,Fallen,"Fallen (Fallen, #1)",en-US
225,John Steinbeck,East of Eden  ,East of Eden,eng
226,Gillian Flynn,Dark Places,Dark Places,eng
227,John Grisham,The Client,The Client,eng
228,"Emma McLaughlin, Nicola Kraus",The Nanny Diaries,"The Nanny Diaries (Nanny, #1)",eng
229,"Lewis Carroll, John Tenniel, Martin Gardner",Alice's Adventures in Wonderland,Alice's Adventures in Wonderland & Through the Looking-Glass,eng
230,"Jane Austen, James Kinsley, Deidre Shauna Lynch",Persuasion,Persuasion,eng
231,Tatiana de Rosnay,Elle s'appelait Sarah,Sarah's Key,eng
232,Stephen King,The Gunslinger,"The Gunslinger (The Dark Tower, #1)",en-US
233,"Gabriel García Márquez, Edith Grossman",El amor en los tiempos del cólera,Love in the Time of Cholera,eng
234,Laurie Halse Anderson,Speak,Speak,eng
235,Liane Moriarty,The Husband's Secret ,The Husband's Secret,eng
236,Jon Krakauer,Into Thin Air: A Personal Account of the Mt. Everest Disaster,Into Thin Air: A Personal Account of the Mount Everest Disaster,en-US
237,Stephen King,Carrie,Carrie,
238,Augusten Burroughs,Running with Scissors,Running with Scissors,en-US
239,Max Brooks,World War Z: An Oral History of the Zombie War,World War Z: An Oral History of the Zombie War,en-US
240,Dan Brown,Inferno,"Inferno (Robert Langdon, #4)",eng
241,Lois Lowry,Number the Stars,Number the Stars,eng
242,James Patterson,Along Came a Spider,"Along Came a Spider (Alex Cross, #1)",eng
243,Stephen King,Misery,Misery,en-GB
244,Gillian Flynn,Sharp Objects,Sharp Objects,en-US
245,Katherine Paterson,Bridge to Terabithia,Bridge to Terabithia,eng
246,"P.C. Cast, Kristin Cast",Marked,"Marked (House of Night, #1)",en-US
247,Stephen R. Covey,The 7 Habits of Highly Effective People,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,en-US
248,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",A Midsummer Night's Dream,A Midsummer Night's Dream,eng
249,Jonathan Safran Foer,Extremely Loud and Incredibly Close,Extremely Loud and Incredibly Close,en-US
250,R.J. Palacio,Wonder,Wonder,eng
251,Dr. Seuss,The Cat in the Hat,The Cat in the Hat,eng
252,Marissa Meyer,Cinder,"Cinder (The Lunar Chronicles, #1)",eng
253,"Robert Galbraith, J.K. Rowling",The Cuckoo's Calling,"The Cuckoo's Calling (Cormoran Strike, #1)",en-US
254,Maggie Stiefvater,Shiver,"Shiver (The Wolves of Mercy Falls, #1)",eng
255,"Ayn Rand, Leonard Peikoff",Atlas Shrugged,Atlas Shrugged,eng
256,"Greg Mortenson, David Oliver Relin",Three Cups of Tea ,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,en-US
257,"Jane Carruth, Lewis Carroll, Rene Cloke",,Alice in Wonderland,eng
258,"Carlos Ruiz Zafón, Lucia Graves",La sombra del viento,"The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)",eng
259,James Dashner,The Scorch Trials,"The Scorch Trials (Maze Runner, #2)",eng
260,Dale Carnegie,How to Win Friends and Influence People,How to Win Friends and Influence People,eng
261,Frances Mayes,Under the Tuscan Sun,Under the Tuscan Sun,eng
262,Liane Moriarty,Big Little Lies,Big Little Lies,eng
263,Gail Carson Levine,Ella Enchanted,Ella Enchanted,eng
264,Ernest Hemingway,The Sun Also Rises,The Sun Also Rises,en-US
265,Betty  Smith,A Tree Grows In Brooklyn ,A Tree Grows in Brooklyn,eng
266,James Patterson,Kiss the Girls,"Kiss the Girls (Alex Cross, #2)",eng
267,Kristin Hannah,The Nightingale,The Nightingale,eng
268,Kazuo Ishiguro,Never Let Me Go,Never Let Me Go,eng
269,Cecelia Ahern,"PS, I Love You",P.S. I Love You,en-US
270,"Daphne du Maurier, Sally Beauman",Rebecca,Rebecca,en-US
271,Daniel Keyes,Flowers for Algernon,Flowers for Algernon,en-US
272,"Laura Esquivel, Thomas  Christensen, Carol Christensen",Como agua para chocolate,Like Water for Chocolate,en-US
273,Lisa See,Snow Flower and the Secret Fan,Snow Flower and the Secret Fan,eng
274,"Mario Puzo, Robert Thompson, Peter Bart",The Godfather,The Godfather,eng
275,John Green,An Abundance of Katherines,An Abundance of Katherines,eng
276,Isaac Asimov,Foundation,Foundation (Foundation #1),eng
277,Neil Gaiman,The Ocean at the End of the Lane,The Ocean at the End of the Lane,eng
278,Shel Silverstein,A Light in the Attic,A Light in the Attic,eng
279,"John Tiffany, Jack Thorne, J.K. Rowling","Harry Potter and the Cursed Child, Parts One and Two","Harry Potter and the Cursed Child - Parts One and Two (Harry Potter, #8)",eng
280,Lauren Oliver,Delirium,"Delirium (Delirium, #1)",eng
281,John Grisham,The Pelican Brief,The Pelican Brief,eng
282,Neil Gaiman,Coraline,Coraline,eng
283,"Terry Pratchett, Neil Gaiman","Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch","Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",en-US
284,Jack Kerouac,On the Road,On the Road,eng
285,Graeme Simsion,The Rosie Project,"The Rosie Project (Don Tillman, #1)",eng
286,Nicholas Sparks,The Lucky One,The Lucky One,en-US
287,"Ayn Rand, Leonard Peikoff",The Fountainhead,The Fountainhead,eng
288,Tom Clancy,The Hunt for Red October,"The Hunt for Red October (Jack Ryan Universe, #4)",
289,Richard Adams,Watership Down,"Watership Down (Watership Down, #1)",eng
290,Mindy Kaling,Is Everyone Hanging Out Without Me? (And Other Concerns),Is Everyone Hanging Out Without Me? (And Other Concerns),eng
291,Abraham Verghese,Cutting for Stone,Cutting for Stone,eng
292,"C.S. Lewis, Pauline Baynes",The Voyage of the Dawn Treader,"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",eng
293,Robert Louis Stevenson,Treasure Island,Treasure Island,eng
294,Rick Riordan,The Son of Neptune ,"The Son of Neptune (The Heroes of Olympus, #2)",eng
295,Stephen King,11/22/63,11/22/63,eng
